team,tournament,match,alliance,sandstorm_start_hatch,sandstorm_start_cargo,sandstorm_start_lvl_1,sandstorm_start_lvl_2,sandstorm_hab,sandstorm_rocket_cargo_1,sandstorm_rocket_cargo_2,sandstorm_rocket_cargo_3,sandstorm_total_rocket_cargo,sandstorm_rocket_hatch_1,sandstorm_rocket_hatch_2,sandstorm_rocket_hatch_3,sandstorm_total_rocket_hatch,sandstorm_cargoship_cargo,sandstorm_cargoship_hatch,teleop_rocket_cargo_1,teleop_rocket_cargo_2,teleop_rocket_cargo_3,teleop_total_rocket_cargo,teleop_rocket_hatch_1,teleop_rocket_hatch_2,teleop_rocket_hatch_3,teleop_total_rocket_hatch,teleop_cargoship_cargo,teleop_cargoship_hatch,teleop_climb_1,teleop_climb_2,teleop_climb_3,rating_cargo_accuracy,rating_hatch_accuracy,rating_speed,rating_defense,rating_stability,disabled,interfere,defense,comment_scout,comment_super,match_id,scout_id,Total Game Pieces,Hab Climb
115,CAVE,12,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,FALSE,TRUE,FALSE,4,3,3,1,4,FALSE,FALSE,FALSE,in the middle; wandered around aimlessly for a bit. probably bc 4414 carried and missed one cargo. climb almost failed.,,12@CAVE:b[115;4414;5102],0,5,6
4414,CAVE,12,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,1,2,2,5,1,1,2,4,0,0,FALSE,FALSE,TRUE,5,5,4,1,4,FALSE,FALSE,FALSE,,,12@CAVE:b[115;4414;5102],1,9,12
5102,CAVE,12,b,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,5,3,3,3,TRUE,TRUE,TRUE,I got two hatches and then played defense. It sometimes got in the way of the robots on the same alliance,,12@CAVE:b[115;4414;5102],2,2,0
5199,CAVE,32,r,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,FALSE,FALSE,TRUE,4,4,4,1,3,FALSE,FALSE,FALSE,Driver drove really well against defense,,32@CAVE:r[5199],0,5,12
7372,CAVE,1,b,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,TRUE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,Team wasn't there. Scouted team is 7650,,1@CAVE:b[7372;7650;7887],0,3,6
7650,CAVE,1,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,TRUE,FALSE,4,3,3,1,4,FALSE,FALSE,FALSE,the driver wasn't good but not that bad; missed many placements he could've easily made,,1@CAVE:b[7372;7650;7887],1,3,6
4470,CAVE,1,r,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,Didn't do anything,,1@CAVE:r[6553;4470;5199],1,0,0
5199,CAVE,1,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,1,0,0,1,0,0,2,2,0,4,1,2,2,5,0,1,FALSE,FALSE,FALSE,4,4,4,1,4,FALSE,FALSE,FALSE,Fast cycle timesAttempted level3 climb failed tell offsmooth driving,,1@CAVE:r[6553;4470;5199],2,10,0
6553,CAVE,1,r,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,TRUE,FALSE,FALSE,2,4,2,1,4,FALSE,FALSE,FALSE,Slow mechanism 3 cycles 1hatch 1cargo successful,,1@CAVE:r[6553;4470;5199],0,2,3
294,CAVE,2,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,1,FALSE,FALSE,TRUE,4,4,4,1,4,FALSE,FALSE,FALSE,did mostly cargo cycles but they were very consistent and they were the top scorer on their team,,2@CAVE:b[294;4486;580],0,6,12
4486,CAVE,2,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,FALSE,TRUE,FALSE,5,2,4,1,4,FALSE,FALSE,FALSE,fast cycle times but not as good as us,,2@CAVE:b[294;4486;580],1,4,6
4201,CAVE,2,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,2,2,0,4,2,2,1,5,0,0,FALSE,FALSE,FALSE,4,2,3,1,4,FALSE,FALSE,FALSE,Pretty good; almost finished rocket,,2@CAVE:r[4414;4201;6398],1,9,0
4414,CAVE,2,r,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,1,0,0,2,2,2,6,2,2,1,5,0,0,FALSE,FALSE,TRUE,5,5,5,1,5,FALSE,FALSE,FALSE,Fast cycles no being defended tho,,2@CAVE:r[4414;4201;6398],0,11,12
6398,CAVE,2,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,2,2,2,2,3,FALSE,FALSE,TRUE,Got pinned while playing defenseFirst level endgameConfused driving tried and failed to put several hatches or cargoSlow cycle times,,2@CAVE:r[4414;4201;6398],2,0,0
3328,CAVE,3,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,2,2,2,FALSE,TRUE,FALSE,They barely scored at all and they interfered with other robots,,3@CAVE:b[3328;3863;115],0,1,3
3863,CAVE,3,b,TRUE,FALSE,FALSE,TRUE,FALSE,0,2,2,4,3,2,2,7,0,0,0,2,2,4,1,2,2,5,0,0,TRUE,FALSE,FALSE,5,5,4,1,5,FALSE,FALSE,FALSE,pretty solid team; finished whole rocket(our team did the 1st level cargo),,3@CAVE:b[3328;3863;115],1,9,3
3303,CAVE,3,r,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,TRUE,FALSE,FALSE,4,4,2,1,4,FALSE,FALSE,FALSE,Inefficient intake climbing failed stayed on lv1,,3@CAVE:r[3303;3473;5510],0,2,3
3473,CAVE,3,r,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,4,1,3,1,5,FALSE,FALSE,FALSE,Smooth movement and placement of cargo; missed a few though; might've missed a cargo in the cargo shio,,3@CAVE:r[3303;3473;5510],1,6,0
5510,CAVE,3,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,FALSE,FALSE,FALSE,1,3,2,1,4,FALSE,FALSE,FALSE,Very slowConfused drivingSlow cycle timesDropped hatch,,3@CAVE:r[3303;3473;5510],2,3,0
5136,CAVE,4,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,FALSE,TRUE,FALSE,1,3,3,1,4,FALSE,FALSE,FALSE,Had extreme difficulty grabbing hatches. Had omni wheels; and an unorthodox cone shaped hatch mechanism,,4@CAVE:b[5678;5869;5136],2,1,6
5678,CAVE,4,b,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,3,1,FALSE,FALSE,TRUE,Played defense the entire time because their manipulator got stuck. However they were not irritating during defense.,,4@CAVE:b[5678;5869;5136],0,0,3
5869,CAVE,4,b,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,played like shit; was not disabled but still did not do anything; not even defense; just drove around trying to intake,,4@CAVE:b[5678;5869;5136],1,0,3
2486,CAVE,4,r,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,FALSE,FALSE,TRUE,4,1,3,1,4,FALSE,FALSE,FALSE,stuck tilted for 3rd lv climb has hatch mechanism but only did cargo no miss not fast,,4@CAVE:r[2486;5700;4711],0,4,12
4711,CAVE,4,r,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,3,3,4,FALSE,FALSE,TRUE,Crossed cargo line during sandstorm tech fowlUnsure d LivingsTone aimlessly Weak defenseUnsure where to goComes back at 30 secs Ends in level one,,4@CAVE:r[2486;5700;4711],2,0,0
5700,CAVE,4,r,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,1,0,FALSE,FALSE,FALSE,3,3,3,1,3,FALSE,FALSE,FALSE,Fell off level 2 climb at the  last second; inefficient with cycles (drove across the field to the other side rocket instead of the closer one each time),,4@CAVE:r[2486;5700;4711],1,4,0
